2026-03-25 16:16:31 | INFO     | pipeline.bq_transformer | Running: sql/02_encounters_slim_creation.sql
2026-03-25 16:16:31 | INFO     | pipeline.bq_transformer | Running query:
-- Slim encounters: strip unused columns and filter to clinically relevant encounter classes
CREATE OR REPLACE TABLE healthcare-test-486920.data_slim.encounters_slim
  CLUSTER BY patient, encounterclass
AS (
  WITH
    -- Anchor point: latest encounter stop in raw data, used to exclude the most recent 30-day window (outcomes not yet known)
    end_date AS (
      SELECT MAX(stop) AS end_ts
      FROM healthcare-test-486920.raw_data.encounters
    ),
    -- Pull patient deathdate for filtering out post-death encounters
    p AS (
      SELECT
        id AS patient_id,
        deathdate
      FROM healthcare-test-486920.data_slim.patients_slim
    )
  SELECT
    e.id,
    e.start,
    e.stop,
    e.patient,
    e.organization,
    e.encounterclass,
    e.base_encounter_cost,
    e.total_claim_cost,
    e.description
  FROM healthcare-test-486920.raw_data.encounters e
  LEFT JOIN p
    ON e.patient = p.patient_id
  CROSS JOIN end_date
  WHERE
    -- Keep only encounter classes used in the readmission model
    e.encounterclass IN (
      'inpatient',
      'emergency',
      'urgentcare',
      'outpatient',
      'ambulatory',
      'virtual',
      'wellness')
    -- Exclude encounters ending in the last 30 days: their readmission outcome is not yet observable
    AND e.stop <= TIMESTAMP_SUB(end_ts, INTERVAL 30 DAY)
    -- Exclude encounters that occurred after the patient died
    AND e.stop < COALESCE(TIMESTAMP(deathdate), end_ts)
)
2026-03-25 16:16:34 | INFO     | pipeline.bq_transformer | Query finished.
2026-03-25 16:16:34 | INFO     | pipeline.bq_transformer | Running: sql/03_careplans_slim_creation.sql
2026-03-25 16:16:34 | INFO     | pipeline.bq_transformer | Running query:
-- Slim careplans: inner join to encounters_slim to retain only careplans linked to valid encounters
CREATE OR REPLACE TABLE healthcare-test-486920.data_slim.careplans_slim
  CLUSTER BY patient, encounter
AS
SELECT
  care.Start,
  care.stop,
  care.patient,
  care.encounter,
  care.description,
  care.reasoncode as code
FROM healthcare-test-486920.raw_data.careplans care
-- Only keep careplans whose triggering encounter passed the encounters_slim filters
JOIN healthcare-test-486920.data_slim.encounters_slim e
  ON care.encounter = e.id
2026-03-25 16:16:36 | INFO     | pipeline.bq_transformer | Query finished.
2026-03-25 16:16:36 | INFO     | pipeline.bq_transformer | Running: sql/04_claims_slim_creation.sql
2026-03-25 16:16:36 | INFO     | pipeline.bq_transformer | Running query:
-- Slim claims: retain diagnosis codes (SNOMED) and illness date; inner join to encounters_slim scopes to valid encounters only
CREATE OR REPLACE TABLE healthcare-test-486920.data_slim.claims_slim
  CLUSTER BY patientid, encounter
AS
SELECT
  cl.appointmentid AS encounter,
  cl.patientid,
  cl.diagnosis1,
  cl.diagnosis2,
  cl.diagnosis3,
  cl.diagnosis4,
  cl.diagnosis5,
  cl.diagnosis6,
  cl.diagnosis7,
  cl.diagnosis8,
  cl.currentillnessdate
FROM healthcare-test-486920.raw_data.claims cl
-- Only keep claims linked to encounters that passed encounters_slim filters
JOIN healthcare-test-486920.data_slim.encounters_slim e
  ON cl.appointmentid = e.id
2026-03-25 16:16:39 | INFO     | pipeline.bq_transformer | Query finished.
2026-03-25 16:16:39 | INFO     | pipeline.bq_transformer | Running: sql/05_conditions_slim_creation.sql
2026-03-25 16:16:39 | INFO     | pipeline.bq_transformer | Running query:
-- Slim conditions: parse diagnosis_name and diagnosis_type out of the description string; exclude 'situation' type entries
CREATE OR REPLACE TABLE healthcare-test-486920.data_slim.conditions_slim
  CLUSTER BY patient, code
AS
SELECT
  cond.start,
  cond.stop,
  cond.patient,
  cond.encounter,
  cond.code,
  -- Extract human-readable name: text before the first '('
  TRIM(SPLIT(cond.description, '(')[OFFSET(0)]) AS diagnosis_name,
  -- Extract SNOMED concept type: text inside the first '(...)'
  REPLACE(
    TRIM(SPLIT(cond.description, '(')[safe_OFFSET(1)]),
    ')',
    '') AS diagnosis_type
FROM  healthcare-test-486920.raw_data.conditions cond
-- Only keep conditions linked to encounters that passed encounters_slim filters
JOIN healthcare-test-486920.data_slim.encounters_slim e
  ON cond.encounter = e.id
WHERE
  -- Exclude 'situation' concept type — not clinically meaningful as a diagnosis
  coalesce(
    REPLACE(
      TRIM(SPLIT(cond.description, '(')[safe_OFFSET(1)]),
      ')',
      ''))
  != 'situation'

2026-03-25 16:16:41 | INFO     | pipeline.bq_transformer | Query finished.
2026-03-25 16:16:41 | INFO     | pipeline.bq_transformer | Running: sql/06_medications_slim_creation.sql
2026-03-25 16:16:41 | INFO     | pipeline.bq_transformer | Running query:
